Owner,Category,Qty,Vintage ,Winery ,Wine (Name),Varietal(s),Country ,State ,Region ,Appelation,Sub App,Vineyard/Cru,Retail Price ,Volume (mL),Drinking Window,Box #,Notes,Drank,Pulled 1,Double Check,Pull 1 To Drink,Ready to Drink
R,Red,1,2005,Domaine Grand Veneur,Chateauneuf Du Pape Blend,Rhone Blend,France,,Southern Rhone,Chateauneuf Du Pape,,,65,1500,Now,MA1,excellent. buy from this producer again April 2022,TRUE,TRUE,FALSE,FALSE,FALSE
R,Red,1,2014,Chateau Trotanoy,Grand Vin,Bordeaux Blend - Right Bank,France,,Bordeax,Pomerol,,,$215.00,750,Medium,Domaine Wine Storage ,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,2,2014,Giuseppe Quintarelli,Rosso del Bepi,Other,Italy,,Veneto,,,,$155.00,750,Medium,M/L1,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Sparkling,1,2008,Gloria Ferrer,Carneros Cuvee,Other,USA,CA,Northern CA,,,,80,750,Short,Krug ,,TRUE,TRUE,FALSE,FALSE,FALSE
R,Red,1,2014,Hall Wines,Bergfeld,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,,150,750,Medium,M3,,TRUE,TRUE,FALSE,FALSE,TRUE
R,Red,1,2014,Sterling Vineyards,Diamond Mountain District,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,Diamond Mountain District,,120,750,Medium,M3,,TRUE,TRUE,FALSE,FALSE,TRUE
R+M,Red,1,2014,Corison Winery,Helios Sunbasket Vineyard Cab Franc ,Cabernet Franc,USA,CA,Northern CA,Napa Valley,,Sunbasket Vineyard,300,1500,Medium,MA1,,FALSE,FALSE,FALSE,FALSE,TRUE
R,Red,1,2010,Chateau Leoville Las Cases,Le Petit Lion,Bordeaux Blend - Left Bank,France,-,Bordeax,Saint Julien,,,90,750,Medium,L5,,TRUE,FALSE,FALSE,TRUE,FALSE
R,Sparkling,1,2012,Domaine Carneros,Estate Cuvee Late Disgorged,Other,USA,CA,Northern CA,,,,57,750,Medium,Krug,,TRUE,TRUE,FALSE,FALSE,FALSE
R,Red,1,2014,Giuseppe Quintarelli,Rosso Ca Del Merlo,Other,Italy,,Veneto,,,,$110.00,750,Medium,M/L1,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2014,Sterling Vineyards,Yates Family Vineyard Cab Sauv,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,Mt. Veeder,Yates Family Vineyard,140,750,Medium,M3,,TRUE,TRUE,FALSE,FALSE,TRUE
R,Red,2,2014,Andrew Will Winery,Sorella,Bordeaux Blend - Left Bank,USA,WA,Columbia Valley,Horse Heaven Hills,Horse Heaven Hills,Champoux Vineyard ,110,750,Short,Andrew Will OWC,,TRUE,TRUE,FALSE,FALSE,FALSE
R,Red,1,2014,Trinite Estate,Amaino,Bordeaux Blend - Left Bank,USA,CA,Northern CA,Sonoma County,,,$50.00,750,Short,S2,,FALSE,FALSE,TRUE,FALSE,TRUE
R,Red,1,2005,Chateau Dufort Vivens,Le Relais de Durfort Vivens,Bordeaux Blend - Left Bank,France,-,Bordeaux,Margaux,,,55,750,Medium,L7,,TRUE,TRUE,FALSE,TRUE,FALSE
R,Red,1,2014,Trinite Estate,Amaino,Bordeaux Blend - Left Bank,USA,CA,Northern CA,Sonoma County,,,50,750,Short,M/S1,,TRUE,TRUE,FALSE,FALSE,TRUE
